run_id,task_number,task_id,suite,status,official_reward,agent_duration_seconds,total_duration_seconds,agent_timeout_seconds,model_cost_cny_estimate,usage_partial,usage_responses,cache_hit_rate,raw_result_path
frontierharness-mcode-kimi,1,datacurve/anko-typed-variable-bindings,datacurve,success,1,1880.367,1935,5400,16.311044,False,58,0.9744704834207379,run/trials/datacurve-anko-typed-variable-bindings/jobs/anko-typed-variable-bindings/anko-typed-variable-bindings__E5hwMD6/result.json
frontierharness-mcode-kimi,2,datacurve/arktype-json-schema-refs-dependencies,datacurve,timeout,,5385.966,5416,5400,29.661644,True,117,0.9819652984480526,run/trials/datacurve-arktype-json-schema-refs-dependencies/jobs/arktype-json-schema-refs-dependencies/arktype-json-schema-refs-depende__6fDBEFy/result.json
frontierharness-mcode-kimi,3,datacurve/expr-try-catch-errors,datacurve,failed,0,4648.777,4719,5400,31.368428,False,93,0.9839231012549287,run/trials/datacurve-expr-try-catch-errors/jobs/expr-try-catch-errors/expr-try-catch-errors__ztSMKqx/result.json
frontierharness-mcode-kimi,4,datacurve/fastapi-deprecation-response-headers,datacurve,success,1,3011.15,3087,5400,14.757864,False,67,0.9756931358384107,run/trials/datacurve-fastapi-deprecation-response-headers/jobs/fastapi-deprecation-response-headers/fastapi-deprecation-response-hea__TtWPCWw/result.json
frontierharness-mcode-kimi,5,datacurve/httpx-multipart-response-parsing,datacurve,success,1,1903.011,1948,5400,11.113576,False,40,0.9661482375254141,run/trials/datacurve-httpx-multipart-response-parsing/jobs/httpx-multipart-response-parsing/httpx-multipart-response-parsing__yLgVvrp/result.json
frontierharness-mcode-kimi,6,datacurve/katex-multicolumn-array-spans,datacurve,success,1,4105.268,4148,5400,30.516664,False,93,0.9781504508085885,run/trials/datacurve-katex-multicolumn-array-spans/jobs/katex-multicolumn-array-spans/katex-multicolumn-array-spans__VPHe3ci/result.json
frontierharness-mcode-kimi,7,datacurve/meriyah-explicit-resource-declarations,datacurve,timeout,,5386.879,5416,5400,45.947336,True,118,0.9773460836550387,run/trials/datacurve-meriyah-explicit-resource-declarations/jobs/meriyah-explicit-resource-declarations/meriyah-explicit-resource-declar__dMHMcdx/result.json
frontierharness-mcode-kimi,8,datacurve/python-statemachine-state-data-scoping,datacurve,timeout,,5386.164,5416,5400,26.102272,True,62,0.9778900922540344,run/trials/datacurve-python-statemachine-state-data-scoping/jobs/python-statemachine-state-data-scoping/python-statemachine-state-data-s__ANAf6QW/result.json
frontierharness-mcode-kimi,9,datacurve/scc-bounded-memory-spilling,datacurve,success,1,4115.942,4190,5400,34.73232,False,95,0.9851746897161896,run/trials/datacurve-scc-bounded-memory-spilling/jobs/scc-bounded-memory-spilling/scc-bounded-memory-spilling__mX8mza5/result.json
frontierharness-mcode-kimi,10,terminal-bench/build-cython-ext,terminal-bench,failed,0,900.002,929,900,5.834028,True,42,0.9617743655821132,run/trials/terminal-bench-build-cython-ext/jobs/build-cython-ext/build-cython-ext__9NrTY3z/result.json
frontierharness-mcode-kimi,11,terminal-bench/chess-best-move,terminal-bench,success,1,239.665,273,900,1.071464,False,8,0.8525966020883848,run/trials/terminal-bench-chess-best-move/jobs/chess-best-move/chess-best-move__kBFdAd8/result.json
frontierharness-mcode-kimi,12,terminal-bench/code-from-image,terminal-bench,success,1,77.331,117,1200,0.515904,False,4,0.7215038493160923,run/trials/terminal-bench-code-from-image/jobs/code-from-image/code-from-image__iYuYXBJ/result.json
frontierharness-mcode-kimi,13,terminal-bench/constraints-scheduling,terminal-bench,success,1,187.147,243,1200,0.861344,False,4,0.70174991234501,run/trials/terminal-bench-constraints-scheduling/jobs/constraints-scheduling/constraints-scheduling__K5838dz/result.json
frontierharness-mcode-kimi,14,terminal-bench/db-wal-recovery,terminal-bench,success,1,167.769,208,900,0.979676,False,9,0.8645618220449547,run/trials/terminal-bench-db-wal-recovery/jobs/db-wal-recovery/db-wal-recovery__y2Wew4J/result.json
frontierharness-mcode-kimi,15,terminal-bench/dna-insert,terminal-bench,failed,0,1315.926,1361,1800,6.783796,False,24,0.9246519014905822,run/trials/terminal-bench-dna-insert/jobs/dna-insert/dna-insert__FDBybah/result.json
frontierharness-mcode-kimi,16,terminal-bench/extract-elf,terminal-bench,success,1,387.981,432,900,2.044504,False,12,0.873330642966411,run/trials/terminal-bench-extract-elf/jobs/extract-elf/extract-elf__3wHMCLY/result.json
frontierharness-mcode-kimi,17,terminal-bench/gcode-to-text,terminal-bench,success,1,425.823,459,900,2.32603,False,19,0.9187306543652456,run/trials/terminal-bench-gcode-to-text/jobs/gcode-to-text/gcode-to-text__Bhmbwpp/result.json
frontierharness-mcode-kimi,18,terminal-bench/git-leak-recovery,terminal-bench,success,1,161.174,213,900,0.83192,False,7,0.8285045000616447,run/trials/terminal-bench-git-leak-recovery/jobs/git-leak-recovery/git-leak-recovery__Xa2kqMA/result.json
frontierharness-mcode-kimi,19,terminal-bench/kv-store-grpc,terminal-bench,success,1,123.516,167,900,0.700868,False,6,0.8084177670482948,run/trials/terminal-bench-kv-store-grpc/jobs/kv-store-grpc/kv-store-grpc__rnfDBZm/result.json
frontierharness-mcode-kimi,20,terminal-bench/largest-eigenval,terminal-bench,success,1,784.236,822,900,3.795216,False,15,0.8983654329601773,run/trials/terminal-bench-largest-eigenval/jobs/largest-eigenval/largest-eigenval__k6P36cg/result.json
frontierharness-mcode-kimi,21,terminal-bench/log-summary-date-ranges,terminal-bench,success,1,89.145,121,900,0.660348,False,6,0.8107847177253193,run/trials/terminal-bench-log-summary-date-ranges/jobs/log-summary-date-ranges/log-summary-date-ranges__tjueXxX/result.json
frontierharness-mcode-kimi,22,terminal-bench/merge-diff-arc-agi-task,terminal-bench,success,1,290.215,326,900,1.593236,False,19,0.9218120700600485,run/trials/terminal-bench-merge-diff-arc-agi-task/jobs/merge-diff-arc-agi-task/merge-diff-arc-agi-task__Vh3PGyZ/result.json
frontierharness-mcode-kimi,23,terminal-bench/modernize-scientific-stack,terminal-bench,success,1,93.402,138,600,0.63524,False,5,0.7796807048857536,run/trials/terminal-bench-modernize-scientific-stack/jobs/modernize-scientific-stack/modernize-scientific-stack__WveWi6J/result.json
frontierharness-mcode-kimi,24,terminal-bench/multi-source-data-merger,terminal-bench,success,1,158.124,198,900,0.890888,False,7,0.8258969022891794,run/trials/terminal-bench-multi-source-data-merger/jobs/multi-source-data-merger/multi-source-data-merger__kJqqALX/result.json
frontierharness-mcode-kimi,25,terminal-bench/openssl-selfsigned-cert,terminal-bench,success,1,169.144,227,900,0.931272,False,4,0.7166172835464174,run/trials/terminal-bench-openssl-selfsigned-cert/jobs/openssl-selfsigned-cert/openssl-selfsigned-cert__PtdDjxt/result.json
frontierharness-mcode-kimi,26,terminal-bench/polyglot-c-py,terminal-bench,failed,0,584.464,623,900,2.783352,False,8,0.8550882665525665,run/trials/terminal-bench-polyglot-c-py/jobs/polyglot-c-py/polyglot-c-py__wMf5d8f/result.json
frontierharness-mcode-kimi,27,terminal-bench/regex-log,terminal-bench,success,1,497.917,543,900,2.467116,False,8,0.8485435343566279,run/trials/terminal-bench-regex-log/jobs/regex-log/regex-log__j3JYPP4/result.json
frontierharness-mcode-kimi,28,terminal-bench/sanitize-git-repo,terminal-bench,success,1,239.086,280,900,1.566224,False,12,0.8888810949679524,run/trials/terminal-bench-sanitize-git-repo/jobs/sanitize-git-repo/sanitize-git-repo__trCsFM2/result.json
frontierharness-mcode-kimi,29,terminal-bench/sqlite-db-truncate,terminal-bench,success,1,149.637,191,900,0.879108,False,6,0.7869582581964734,run/trials/terminal-bench-sqlite-db-truncate/jobs/sqlite-db-truncate/sqlite-db-truncate__RKCUfN8/result.json
frontierharness-mcode-kimi,30,terminal-bench/vulnerable-secret,terminal-bench,success,1,171.63,209,900,1.186952,False,13,0.8914537064014962,run/trials/terminal-bench-vulnerable-secret/jobs/vulnerable-secret/vulnerable-secret__7rNLPpC/result.json
